Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method
ORD00001,2025-03-19,2025-03-20,C0043,Priya,Male,28,Delhi,Delhi,North,P003,Jeans,Clothing,Jeans,6,2495,0.1,13473.0,2155.63,Cash
ORD00002,2025-09-02,2025-09-05,C0044,Rahul,Female,57,Bengaluru,Karnataka,South,P029,Laptop,Electronics,Laptop,6,2267,0.1,12241.8,1361.74,Cash
ORD00003,2025-01-04,2025-01-07,C0103,Sneha,Male,58,Chennai,Tamil Nadu,South,P041,Desk,Furniture,Desk,8,3488,0.05,26508.8,5687.94,UPI
ORD00004,2025-07-06,2025-07-08,C0054,Priya,Male,51,Bengaluru,Karnataka,South,P024,Laptop,Electronics,Laptop,8,1680,0.0,13440.0,2696.57,Cash
ORD00005,2025-07-29,2025-08-05,C0215,Aarav,Male,47,Bengaluru,Karnataka,South,P045,Phone,Electronics,Phone,5,4807,0.0,24035.0,4827.0,UPI
ORD00006,2025-10-21,2025-10-22,C0064,Sneha,Male,60,Unknown,Kerala,South,P031,Phone,Electronics,Phone,4,2732,0.1,9835.2,629.82,Cash
ORD00007,2025-05-25,2025-05-28,C0227,Diya,Female,38,Bengaluru,Karnataka,South,P029,Tea,Grocery,Tea,5,1204,0.1,5418.0,593.93,Card
ORD00008,2025-04-24,2025-04-27,C0180,Aarav,Male,41,Kochi,Kerala,South,P031,Tea,Grocery,Tea,1,2540,0.0,2540.0,274.08,Card
ORD00009,2025-04-11,2025-04-14,C0159,Aarav,Female,60,Bengaluru,Karnataka,South,P029,Laptop,Electronics,Laptop,2,104,0.1,187.2,27.8,Cash
ORD00010,2025-10-15,2025-10-17,C0049,Priya,Male,57,Chennai,Tamil Nadu,South,P007,Desk,Furniture,Desk,2,1966,0.0,3932.0,609.34,UPI
ORD00011,2025-06-09,2025-06-14,C0128,Sneha,Male,56,Bengaluru,Karnataka,South,P048,Laptop,Electronics,Laptop,7,4400,0.05,29260.0,7153.87,Cash
ORD00012,2025-04-28,2025-05-04,C0071,Aarav,Female,24,Mumbai,Maharashtra,West,P046,Laptop,Electronics,Laptop,4,2447,0.15,8319.8,1490.75,Cash
ORD00013,2025-05-20,2025-05-26,C0185,Rahul,Male,34,Kochi,Kerala,South,P028,Phone,Electronics,Phone,8,2220,0.0,17760.0,2186.48,UPI
ORD00014,2025-03-24,2025-03-27,C0206,Unknown Customer,Male,33,Chennai,Tamil Nadu,South,P050,Chair,Furniture,Chair,2,916,0.0,1832.0,132.45,Card
ORD00015,2025-04-21,2025-04-22,C0142,Priya,Female,63,Mumbai,Maharashtra,West,P020,Jeans,Clothing,Jeans,6,153,0.0,918.0,78.91,UPI
ORD00016,2025-09-05,2025-09-11,C0007,Priya,Male,46,Mumbai,Maharashtra,West,P032,Rice,Grocery,Rice,4,508,0.05,1930.4,188.96,Card
ORD00017,2025-09-05,2025-09-10,C0218,Priya,Male,47,Mumbai,Maharashtra,West,P045,Jeans,Clothing,Jeans,4,3527,0.0,14108.0,2145.74,Card
ORD00018,2025-05-22,2025-05-27,C0207,Sneha,Female,45,Delhi,Delhi,North,P018,Laptop,Electronics,Laptop,1,3325,0.1,2992.5,303.54,UPI
ORD00019,2025-07-01,2025-07-03,C0022,Priya,Female,31,Delhi,Delhi,North,P009,Laptop,Electronics,Laptop,8,3940,0.0,31520.0,6272.42,Cash
ORD00020,2025-12-23,2025-12-30,C0215,Rahul,Male,23,Kochi,Kerala,South,P027,Desk,Furniture,Desk,1,1797,0.05,1707.15,202.44,Card
